"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Inbetriebnahmedatum der Einheit am aktuellen Standort";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Gemeinde";"Landkreis";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Überwiegende Nutzungsart der Fläche vor Errichtung";"Bereich der überwiegenden Nutzungsart der Fläche vor Errichtung";"Größe der in Anspruch genommenen Fläche in Hektar";"Zusätzliche Merkmale der Fläche und der aktuellen Flächennutzung";"Technologie der Stromerzeugung";"Volleinspeisung oder Teileinspeisung";"Art der Solaranlage";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Hauptneigungswinkel der Solar-Module";"Nutzungsbereich des Gebäudes mit Solaranlage";"Name des Solarparks";"Lichte Höhe in Meter";"Name des Windparks";"Wind an Land oder auf See";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"MaStR-Nr. der Speichereinheit";"Speichertechnologie";"Nutzbare Speicherkapazität in kWh";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE975094493437";"WEA 4";"In Betrieb";"Wind";"2530";"2530";"6/16/2016";"";"2/5/2019";"Brandenburg";"15936";"Dahme";"";"";"Zagelsdorf";"Flur2: 92";"12072053";"Dahme/Mark";"Teltow-Fläming";"51,88555";"13,4861";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Dahme-Zagelsdorf 4";"Windkraft an Land";"120";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"";"";"6/2/2025";"";"";"Windpark Dahme-Zagelsdorf 4 GmbH & Co. KG";"ABR903329840572";"SGE970706399435";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL901427699870";"EEG981597832383";"E4186001EA01000000000082827500004";"6/16/2016";"2530";"";"";"";"";""
"SEE977118064012";"V 212506";"In Betrieb";"Wind";"3450";"3450";"11/22/2016";"";"2/5/2019";"Brandenburg";"15236";"Jacobsdorf";"";"";"Jacobsdorf";"Jacobsdorf Flur 1, Flurstück 208";"12067237";"Jacobsdorf";"Oder-Spree";"52,355246";"14,364441";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Jacobsdorf GmbH & Co. KG";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"V112 3.3/3.45 MW";"";"";"";"";"7/8/2024";"";"";"Ventus Regenerative Energien GmbH & Co. Windstrom Jacobsdorf KG";"ABR982662736025";"SGE939363579024";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL989998651916";"EEG991943882672";"E4186001SZP0000000000086863800001";"11/22/2016";"3450";"";"";"";"";""
"SEE963764933994";"V 212507";"In Betrieb";"Wind";"3450";"3450";"2/21/2017";"";"2/5/2019";"Brandenburg";"15236";"Jacobsdorf";"";"";"Jacobsdorf";"Jacobsdorf Flur 1, Flurstück 208";"12067237";"Jacobsdorf";"Oder-Spree";"52,350316";"14,363807";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Jacobsdorf GmbH & Co. KG";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"V112 3.3/3.45 MW";"";"";"";"";"10/1/2024";"";"";"Ventus Regenerative Energien GmbH & Co. Windstrom Jacobsdorf KG";"ABR982662736025";"SGE939791464985";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL943000953160";"EEG999484248070";"E4186001SZP0000000000086863800007";"2/21/2017";"3450";"";"";"";"";""
"SEE985641656390";"PV-Anlage Sergen";"In Betrieb";"Solare Strahlungsenergie";"4747,26";"3708";"2/21/2018";"";"2/5/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Sergen";"Flur1: 174, 175, 176, 177, 178, 180, 181";"12071301";"Neuhausen/Spree";"Spree-Neiße";"51,707562";"14,483754";"Landwirtschaft - Ackerland";"Vegetation";"7,19";"Benachteiligtes Gebiet, Konversionsfläche";"";"Volleinspeisung";"Freiflächensolaranlage";"17304";"Süd";"5 - 20 Grad";"";"Sergen Feld 4 (4.747)";"";"";"";"";"";"";"";"";"";"";"";"10/20/2025";"";"";"SP VIII  GmbH & Co.KG";"ABR939206575732";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL964706406811";"EEG972205933967";"E41081010000000000000000000266042";"2/21/2018";"4747,26";"SOL17-2/040,";"";"";"";""
"SEE923923348991";"WEA 5";"In Betrieb";"Wind";"2530";"2530";"6/15/2016";"";"2/5/2019";"Brandenburg";"15936";"Dahme";"";"";"Zagelsdorf";"Flur2: 119.";"12072053";"Dahme/Mark";"Teltow-Fläming";"51,88213";"13,48286";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Dahme-Zagelsdorf 4";"Windkraft an Land";"120";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"";"";"2/11/2025";"";"";"Windpark Dahme-Zagelsdorf 4 GmbH & Co. KG";"ABR903329840572";"SGE970706399435";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL901427699870";"EEG978643673373";"E4186001EA01000000000082827500002";"6/15/2016";"2530";"";"";"";"";""
"SEE978883707494";"V 212508";"In Betrieb";"Wind";"3450";"3450";"12/30/2016";"";"2/5/2019";"Brandenburg";"15236";"Jacobsdorf";"";"";"Jacobsdorf";"Sieversdorf Flur 12, Flurstück 8";"12067237";"Jacobsdorf";"Oder-Spree";"52,361254";"14,373328";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Jacobsdorf GmbH & Co. KG";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"V112 3.3/3.45 MW";"";"";"";"";"11/11/2024";"";"";"Ventus Regenerative Energien GmbH & Co. Windstrom Jacobsdorf KG";"ABR982662736025";"SGE939791464985";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL902983194274";"EEG988204686988";"E4186001SZP0000000000086863800003";"12/30/2016";"3450";"";"";"";"";""
"SEE938820181329";"PV-Anlage Sergen";"In Betrieb";"Solare Strahlungsenergie";"2497,32";"1962";"12/15/2017";"";"2/5/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Sergen";"Flur1: 174, 175, 176, 177, 178, 180, 181, 182";"12071301";"Neuhausen/Spree";"Spree-Neiße";"51,707562";"14,483754";"Landwirtschaft - Ackerland";"Vegetation";"3,78";"Benachteiligtes Gebiet, Konversionsfläche";"";"Volleinspeisung";"Freiflächensolaranlage";"9156";"Süd";"5 - 20 Grad";"";"Sergen Feld 2 (2.500)";"";"";"";"";"";"";"";"";"";"";"";"10/20/2025";"";"";"SP VII GmbH & Co.KG";"ABR991203239383";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL964706406811";"EEG910519669301";"E41081010000000000000000000266001";"12/15/2017";"2497,32";"FFA15-3/088,";"";"";"";""
"SEE943618043789";"V 212509";"In Betrieb";"Wind";"3450";"3450";"2/23/2017";"";"2/5/2019";"Brandenburg";"15236";"Jacobsdorf";"";"";"Jacobsdorf";"Jacobsdorf Flur 1, Flurstück 278";"12067237";"Jacobsdorf";"Oder-Spree";"52,353607";"14,373935";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Jacobsdorf GmbH & Co. KG";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"V112 3.3/3.45 MW";"";"";"";"";"7/8/2024";"";"";"Ventus Regenerative Energien GmbH & Co. Windstrom Jacobsdorf KG";"ABR982662736025";"SGE939791464985";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL989998651916";"EEG975624967810";"E4186001SZP0000000000086863800008";"2/23/2017";"3450";"";"";"";"";""
"SEE969121787637";"V 212510";"In Betrieb";"Wind";"3450";"3450";"2/27/2017";"";"2/5/2019";"Brandenburg";"15236";"Jacobsdorf";"";"";"Jacobsdorf";"Jacobsdorf Flur 1, Flurstück 278";"12067237";"Jacobsdorf";"Oder-Spree";"52,351452";"14,376256";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Jacobsdorf GmbH & Co. KG";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"V112 3.3/3.45 MW";"";"";"";"";"7/8/2024";"";"";"Ventus Regenerative Energien GmbH & Co. Windstrom Jacobsdorf KG";"ABR982662736025";"SGE939791464985";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL989998651916";"EEG913893473328";"E4186001SZP0000000000086863800009";"2/27/2017";"3450";"";"";"";"";""
"SEE976721859220";"PV-Anlage Frauendorf";"In Betrieb";"Solare Strahlungsenergie";"9984";"7800";"6/9/2017";"";"2/5/2019";"Brandenburg";"03058";"Neuhausen";"Franz-Hitze-Straße";"";"";"";"12071301";"Neuhausen/Spree";"Spree-Neiße";"51,702444";"14,398055";"Landwirtschaft - Ackerland";"Vegetation";"15,43";"Benachteiligtes Gebiet, Konversionsfläche";"";"Volleinspeisung";"Freiflächensolaranlage";"31200";"Süd";"5 - 20 Grad";"";"Frauendorf Haupt";"";"";"";"";"";"";"";"";"";"";"";"10/20/2025";"";"";"Solar Project 19 GmbH & Co. KG";"ABR998840140584";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL964706406811";"EEG935054387565";"E41081010000000000000000000253670";"6/9/2017";"9984";"FFA15-3/086,";"";"";"";""
"SEE911157803850";"PV-Anlage Kahsel";"In Betrieb";"Solare Strahlungsenergie";"2993,76";"2520";"10/26/2017";"";"2/5/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Kahsel/Bagenz";"Kahsel Flur 1: 97, 110, 336, 337; Flur 2: 4, 5, 15, 16, 17, 18, 19, 20, 21, 22, 31, 86, 87, 88; Bagenz Flur 5: 14,";"12052000";"Cottbus";"Cottbus";"51,702444";"14,398056";"Landwirtschaft - Ackerland";"Vegetation";"5,9";"Benachteiligtes Gebiet, Konversionsfläche";"";"Volleinspeisung";"Freiflächensolaranlage";"11088";"Süd";"5 - 20 Grad";"";"Kahsel West";"";"";"";"";"";"";"";"";"";"";"";"10/20/2025";"";"";"SP V GmbH & Co.KG";"ABR979699805183";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL964706406811";"EEG977137344867";"E41081010000000000000000000261748";"10/26/2017";"2993,76";"FFA16-1/091,";"";"";"";""
"SEE902442233360";"WF Märkisch-Linden WEA 1 (Seriennummer FL 551)";"In Betrieb";"Wind";"1500";"1500";"1/7/2009";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Kränzlin";"Flur 1: 49";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,916969";"12,731947";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"6/2/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL910248142755";"EEG907941255783";"E41860010000000000602160218700001";"1/7/2009";"1500";"";"";"";"";""
"SEE984973929837";"PV-Dachanlage Kahsel";"In Betrieb";"Solare Strahlungsenergie";"732,78";"681";"3/28/2018";"";"2/5/2019";"Brandenburg";"03058";"Neuhausen";"Kahseler Hauptstraße";"10";"";"";"12071301";"Neuhausen/Spree";"Spree-Neiße";"51,658";"14,458";"";"";"";"";"";"Volleinspeisung";"Gebäudesolaranlage";"2714";"Süd-West";"5 - 20 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"SP XI GmbH & Co.KG";"ABR964545973628";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL964706406811";"EEG920833900264";"E41081010000000000000000000261761";"3/28/2018";"732,78";"";"";"";"";""
"SEE982823615473";"WF Märkisch-Linden WEA 2 (Seriennummer FL 552)";"In Betrieb";"Wind";"1500";"1500";"1/22/2009";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Kränzlin";"Flur 1: 47/3";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,915758";"12,725862";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"1/8/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL976138936125";"EEG918175542662";"E41860010000000000602160218700002";"1/22/2009";"1500";"";"";"";"";""
"SEE918939814394";"DE-S-TURNOW-PRE";"In Betrieb";"Solare Strahlungsenergie";"1439,9";"1250";"4/16/2009";"";"2/12/2019";"Brandenburg";"03185";"Turnow-Preilack";"Solarpark";"901";"";"";"12071304";"Peitz";"Spree-Neiße";"51,8717";"14,389";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"15860";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"Solar Power Turnow GmbH & Co. KG";"ABR936492462845";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL996720060700";"EEG963325219291";"E41081010000000000000000000137030";"4/16/2009";"1439,9";"";"";"";"";""
"SEE907537939899";"WF Märkisch-Linden WEA 3 (Seriennummer FL 553)";"In Betrieb";"Wind";"1500";"1500";"1/7/2009";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Werder";"Flur 1: 588";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,923657";"12,718411";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD 77";"";"";"";"";"2/3/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL910248142755";"EEG926700853473";"E41860010000000000602160218700003";"1/7/2009";"1500";"";"";"";"";""
"SEE978608520667";"WF Märkisch-Linden WEA 4 (Seriennummer FL 554)";"In Betrieb";"Wind";"1500";"1500";"1/23/2009";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Werder";"Flur 1: 602";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,925889";"12,716291";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"2/17/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL910248142755";"EEG986203565853";"E41860010000000000602160218700016";"1/23/2009";"1500";"";"";"";"";""
